0;4.21088;0.001;3.96491;0.0024
2.99389;9.61407;0.001;2.09357;0.0024
6.01833;16.9474;0.001;0.964912;0.0024
8.98167;27.6141;0.001;0;0.0024
12.0061;40.0352;0.001;0;0.0024
15;51.5788;0.001;0.0584795;0.0024
17.9939;63.649;0.001;0.0292398;0.0024
21.2322;75.716;0.001;0.0584795;0.0024
24.3788;79.5395;0.001;0.964912;0.0024
27.7699;79.6752;0.001;2.54386;0.0024
31.3136;78.7565;0.001;4.21053;0.0024
34.002;76.7953;0.001;5.5848;0.0024
36.0643;77.9657;0.001;7.6245;0.0024
37.9786;75.58236;0.001;8.36022;0.0024
39.9694;73.14568;0.001;9.447169;0.0024
