0;4.21;0.001;3.96
2.99;9.61;0.001;2.09
6.02;16.95;0.001;0.96
8.98;27.61;0.001;0
12.01;40.04;0.001;0
15;51.58;0.001;0.06
17.99;63.65;0.001;0.03
21.23;75.72;0.001;0.06
24.38;79.54;0.001;0.96
27.77;79.68;0.001;2.54
31.31;78.76;0.001;4.21
34;76.8;0.001;5.58
36.06;77.97;0.001;7.62
37.98;75.58;0.001;8.36
39.97;73.15;0.001;9.45
